STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,99999,0,27320,12480,10700,1510074
22,LA,0,0,1983690,855300,651640,116895537
22,LA,70001,0,18690,9890,5540,1113410
22,LA,70002,0,9690,4970,3130,776938
22,LA,70003,0,19270,9310,6610,1118410
22,LA,70005,0,12410,6690,4280,1433143
22,LA,70006,0,7440,3550,2720,485874
22,LA,70030,0,1800,720,770,124334
22,LA,70031,0,680,290,240,32695
22,LA,70032,0,1820,870,510,72512
22,LA,70036,0,450,180,200,23592
22,LA,70037,0,7050,2920,2930,491733
22,LA,70039,0,1320,530,320,61837
22,LA,70040,0,490,220,120,20963
22,LA,70041,0,1000,410,340,41067
22,LA,70043,0,7900,3430,2030,304394
22,LA,70047,0,5850,2460,2390,444225
22,LA,70049,0,1030,440,140,37697
22,LA,70051,0,920,370,250,40493
22,LA,70052,0,1630,710,470,87195
22,LA,70053,0,6810,3330,1470,296934
22,LA,70056,0,17270,7510,4990,826716
22,LA,70057,0,1840,770,490,101240
22,LA,70058,0,17710,7710,4270,764392
22,LA,70062,0,7040,3260,1510,259022
22,LA,70065,0,23380,10800,7850,1346815
22,LA,70067,0,1270,500,540,70359
22,LA,70068,0,14260,5880,4280,734473
22,LA,70070,0,5820,2290,2550,417672
22,LA,70071,0,1610,680,440,80379
22,LA,70072,0,24650,10670,7010,1115777
22,LA,70075,0,2140,850,760,107522
22,LA,70079,0,1420,640,540,85258
22,LA,70080,0,660,280,240,32950
22,LA,70083,0,990,420,240,42471
22,LA,70084,0,3150,1340,750,129151
22,LA,70085,0,1650,610,630,70322
22,LA,70086,0,960,430,150,33598
22,LA,70087,0,3490,1510,1020,170640
22,LA,70090,0,3520,1420,1010,181150
22,LA,70091,0,140,70,50,5718
22,LA,70092,0,2920,1180,670,98256
22,LA,70094,0,13550,5840,3180,487854
22,LA,70112,0,1520,1070,250,182611
22,LA,70113,0,2960,1640,230,97013
22,LA,70114,0,9060,4080,1400,319847
22,LA,70115,0,15250,9380,3600,1513745
22,LA,70116,0,5010,3330,560,264799
22,LA,70117,0,11780,6640,1190,373834
22,LA,70118,0,12830,7140,3010,1287711
22,LA,70119,0,16590,10250,2210,686917
22,LA,70121,0,5780,3350,1340,269372
22,LA,70122,0,14470,7060,2560,635318
22,LA,70123,0,13350,6800,4740,1029318
22,LA,70124,0,9660,4710,4010,1141533
22,LA,70125,0,6600,3590,1220,352778
22,LA,70126,0,11170,4650,1510,337156
22,LA,70127,0,9500,4160,1130,289402
22,LA,70128,0,7810,3330,1470,308456
22,LA,70129,0,3580,1580,970,117453
22,LA,70130,0,7570,5380,1320,1496751
22,LA,70131,0,11840,5320,3110,763334
22,LA,70301,0,18700,7770,7140,1173839
22,LA,70339,0,2400,950,1110,155170
22,LA,70341,0,1470,590,360,66743
22,LA,70342,0,2170,800,870,178267
22,LA,70343,0,2450,910,1190,182668
22,LA,70344,0,2130,810,900,101943
22,LA,70345,0,4040,1620,1800,344168
22,LA,70346,0,4520,1780,1010,199491
22,LA,70353,0,470,180,170,17229
22,LA,70354,0,2030,850,780,111517
22,LA,70355,0,400,160,170,21038
22,LA,70356,0,1020,400,300,54158
22,LA,70357,0,1230,550,440,72076
22,LA,70358,0,480,220,190,22716
22,LA,70359,0,3880,1550,1390,205880
22,LA,70360,0,12420,5350,5080,1177595
22,LA,70363,0,10780,4340,3380,471078
22,LA,70364,0,12930,5540,4660,685216
22,LA,70372,0,1190,490,450,58202
22,LA,70373,0,2970,1180,1300,195356
22,LA,70374,0,2930,1170,1290,181353
22,LA,70375,0,170,70,80,13281
